1541874126.274:54100978,17856:"/bin/bash",write,stderr,2
1541874126.358:54100986,17856:"/bin/bash",write,stderr,2
1541874126.442:54100994,17856:"/bin/bash",write,stderr,2
1541874126.526:54101002,17856:"/bin/bash",write,stderr,2
1541874126.610:54101010,17856:"/bin/bash",write,stderr,2
1541874126.694:54101018,17856:"/bin/bash",write,stderr,2
1541874126.778:54101026,17856:"/bin/bash",write,stderr,2
1541874126.862:54101034,17856:"/bin/bash",write,stderr,2
1541874126.946:54101042,17856:"/bin/bash",write,stderr,2
1541874127.30:54101050,17856:"/bin/bash",write,stderr,2
1541874127.114:54101058,17856:"/bin/bash",write,stderr,2
1541874127.198:54101066,17856:"/bin/bash",write,stderr,2
1541874127.282:54101074,17856:"/bin/bash",write,stderr,2
1541874127.366:54101082,17856:"/bin/bash",write,stderr,2
1541874127.450:54101090,17856:"/bin/bash",write,stderr,2
1541874127.534:54101098,17856:"/bin/bash",write,stderr,2
1541874127.614:54101106,17856:"/bin/bash",write,stderr,2
1541874127.702:54101114,17856:"/bin/bash",write,stderr,2
1541874127.802:54101122,17856:"/bin/bash",write,stderr,2
1541874127.866:54101130,17856:"/bin/bash",write,stderr,2
1541874127.970:54101138,17856:"/bin/bash",write,stderr,2
1541874128.34:54101146,17856:"/bin/bash",write,stderr,2
1541874128.138:54101154,17856:"/bin/bash",write,stderr,2
1541874128.202:54101162,17856:"/bin/bash",write,stderr,2
1541874128.374:54101168,17856:"/bin/bash",write,stderr,2
1541874128.470:54101174,17856:"/bin/bash",write,stderr,2
1541874128.558:54101180,17856:"/bin/bash",write,stderr,2
1541874128.654:54101186,17856:"/bin/bash",write,stderr,2
1541874128.778:54101192,17856:"/bin/bash",write,stderr,2
1541874128.946:54101198,17856:"/bin/bash",write,stderr,2
1541874128.966:54101368,17856:"/bin/bash",write,stderr,2
1541874131.62:54101381,17856:"/bin/bash",write,stderr,2
1541874130.954:54101375,17856:"/bin/bash",write,stderr,2
1541874132.966:54101387,17856:"/bin/bash",write,stderr,2
1541874132.970:54101407,18073:"/bin/ls",write,stdout,1
1541874132.970:54101409,18073:"/bin/ls",write,stdout,1
1541874132.970:54101414,17856:"/bin/bash",write,stderr,2
1541874144.346:54101441,18109:"/usr/sbin/sshd",write,stdout,1
1541874144.346:54101442,18109:"/usr/sbin/sshd",write,stdout,1
1541874144.346:54101444,18109:"/usr/sbin/sshd",write,stdout,1
1541874144.346:54101445,18109:"/usr/sbin/sshd",write,stdout,1
1541874144.346:54101447,18109:"/usr/sbin/sshd",write,stdout,1
1541874144.346:54101449,18109:"/usr/sbin/sshd",write,stdout,1
1541874144.346:54101450,18109:"/usr/sbin/sshd",write,stdout,1
1541874144.346:54101452,18109:"/usr/sbin/sshd",write,stdout,1
1541874144.350:54101453,18109:"/usr/sbin/sshd",write,stdout,1
1541874144.350:54101455,18109:"/usr/sbin/sshd",write,stdout,1
1541874144.350:54101456,18109:"/usr/sbin/sshd",write,stdout,1
1541874144.350:54101458,18109:"/usr/sbin/sshd",write,stdout,1
1541874144.350:54101459,18109:"/usr/sbin/sshd",write,stdout,1
1541874144.350:54101460,18109:"/usr/sbin/sshd",write,stdout,1
1541874144.350:54101462,18109:"/usr/sbin/sshd",write,stdout,1
1541874144.374:54101521,18111:"/bin/ls",write,stdout,1
1541874144.374:54101548,18109:"/bin/bash",write,stdout,1
1541874144.378:54101559,18109:"/bin/bash",write,stdout,1
1541874144.378:54101561,18109:"/bin/bash",write,stdout,1
1541874144.378:54101563,18109:"/bin/bash",write,stdout,1
1541874144.378:54101565,18109:"/bin/bash",write,stdout,1
1541874144.382:54101567,18109:"/bin/bash",write,stdout,1
1541874144.382:54101569,18109:"/bin/bash",write,stderr,2
1541874144.382:54101571,18109:"/bin/bash",write,stdout,1
1541874144.382:54101573,18109:"/bin/bash",write,stdout,1
1541874144.382:54101575,18109:"/bin/bash",write,stdout,1
1541874144.382:54101577,18109:"/bin/bash",write,stdout,1
1541874144.382:54101579,18109:"/bin/bash",write,stdout,1
1541874144.382:54101581,18109:"/bin/bash",write,stdout,1
1541874144.382:54101583,18109:"/bin/bash",write,stdout,1
1541874144.382:54101587,18109:"/bin/bash",write,stderr,2
