1541873705.626:54100677,"18034:""/usr/bin/vim.nox""",write,stdout,1,"(1541873705.0, 626.0, 54100677.0)","(1541873705.0, 630.0, 54100679.0)"
1541873705.902:54100686,"18034:""/usr/bin/vim.nox""",write,stdout,1,"(1541873705.0, 902.0, 54100686.0)","(1541873705.0, 902.0, 54100687.0)"
1541873706.74:54100693,"18034:""/usr/bin/vim.nox""",write,stdout,1,"(1541873706.0, 74.0, 54100693.0)","(1541873706.0, 74.0, 54100693.0)"
1541873706.74:54100700,"18034:""/usr/bin/vim.nox""",write,0xc20628,/home/raghav/,"(1541873706.0, 74.0, 54100700.0)","(1541873706.0, 74.0, 54100701.0)"
1541873706.74:54100703,"18034:""/usr/bin/vim.nox""",write,0xc20628,/home/raghav/,"(1541873706.0, 74.0, 54100703.0)","(1541873706.0, 74.0, 54100703.0)"
1541873706.74:54100706,"18034:""/usr/bin/vim.nox""",write,0xc20628,/home/raghav/,"(1541873706.0, 74.0, 54100706.0)","(1541873706.0, 74.0, 54100706.0)"
1541873706.74:54100707,"18034:""/usr/bin/vim.nox""",write,stdout,1,"(1541873706.0, 74.0, 54100707.0)","(1541873706.0, 174.0, 54100711.0)"
1541874116.518:54100727,"17856:""/bin/bash""",write,stderr,2,"(1541874116.0, 518.0, 54100727.0)","(1541874116.0, 518.0, 54100727.0)"
1541874116.646:54100733,"17856:""/bin/bash""",write,stderr,2,"(1541874116.0, 646.0, 54100733.0)","(1541874116.0, 646.0, 54100733.0)"
1541874116.810:54100739,"17856:""/bin/bash""",write,stderr,2,"(1541874116.0, 810.0, 54100739.0)","(1541874116.0, 814.0, 54100766.0)"
1541874116.814:54100759,"18051:""/bin/ls""",write,stdout,1,"(1541874116.0, 814.0, 54100759.0)","(1541874116.0, 814.0, 54100761.0)"
1541874117.830:54100772,"17856:""/bin/bash""",write,stderr,2,"(1541874117.0, 830.0, 54100772.0)","(1541874117.0, 830.0, 54100772.0)"
1541874118.38:54100778,"17856:""/bin/bash""",write,stderr,2,"(1541874118.0, 38.0, 54100778.0)","(1541874118.0, 38.0, 54100778.0)"
1541874118.798:54100784,"17856:""/bin/bash""",write,stderr,2,"(1541874118.0, 798.0, 54100784.0)","(1541874118.0, 798.0, 54100784.0)"
1541874118.998:54100790,"17856:""/bin/bash""",write,stderr,2,"(1541874118.0, 998.0, 54100790.0)","(1541874118.0, 998.0, 54100790.0)"
1541874119.206:54100797,"17856:""/bin/bash""",write,stderr,2,"(1541874119.0, 206.0, 54100797.0)","(1541874119.0, 206.0, 54100797.0)"
1541874122.582:54100803,"17856:""/bin/bash""",write,stderr,2,"(1541874122.0, 582.0, 54100803.0)","(1541874122.0, 594.0, 54100962.0)"
1541874122.586:54100854,"18053:""/bin/chown""",write,stderr,2,"(1541874122.0, 586.0, 54100854.0)","(1541874122.0, 586.0, 54100874.0)"
1541874122.590:54100899,"18054:""/bin/chmod""",write,stderr,2,"(1541874122.0, 590.0, 54100899.0)","(1541874122.0, 590.0, 54100918.0)"
1541874122.594:54100949,"18060:""/sbin/auditctl""",write,stdout,1,"(1541874122.0, 594.0, 54100949.0)","(1541874122.0, 594.0, 54100954.0)"
1541874125.118:54100970,"17856:""/bin/bash""",write,stderr,2,"(1541874125.0, 118.0, 54100970.0)","(1541874125.0, 118.0, 54100970.0)"
1541874126.274:54100978,"17856:""/bin/bash""",write,stderr,2,"(1541874126.0, 274.0, 54100978.0)","(1541874126.0, 274.0, 54100978.0)"
1541874126.358:54100986,"17856:""/bin/bash""",write,stderr,2,"(1541874126.0, 358.0, 54100986.0)","(1541874126.0, 358.0, 54100986.0)"
1541874126.442:54100994,"17856:""/bin/bash""",write,stderr,2,"(1541874126.0, 442.0, 54100994.0)","(1541874126.0, 442.0, 54100994.0)"
1541874126.526:54101002,"17856:""/bin/bash""",write,stderr,2,"(1541874126.0, 526.0, 54101002.0)","(1541874126.0, 526.0, 54101002.0)"
1541874126.610:54101010,"17856:""/bin/bash""",write,stderr,2,"(1541874126.0, 610.0, 54101010.0)","(1541874126.0, 610.0, 54101010.0)"
1541874126.694:54101018,"17856:""/bin/bash""",write,stderr,2,"(1541874126.0, 694.0, 54101018.0)","(1541874126.0, 694.0, 54101018.0)"
1541874126.778:54101026,"17856:""/bin/bash""",write,stderr,2,"(1541874126.0, 778.0, 54101026.0)","(1541874126.0, 778.0, 54101026.0)"
1541874126.862:54101034,"17856:""/bin/bash""",write,stderr,2,"(1541874126.0, 862.0, 54101034.0)","(1541874126.0, 862.0, 54101034.0)"
1541874126.946:54101042,"17856:""/bin/bash""",write,stderr,2,"(1541874126.0, 946.0, 54101042.0)","(1541874126.0, 946.0, 54101042.0)"
1541874127.30:54101050,"17856:""/bin/bash""",write,stderr,2,"(1541874127.0, 30.0, 54101050.0)","(1541874127.0, 30.0, 54101050.0)"
1541874127.114:54101058,"17856:""/bin/bash""",write,stderr,2,"(1541874127.0, 114.0, 54101058.0)","(1541874127.0, 114.0, 54101058.0)"
